sequence,module,level,type,identifier,name,datatype,multiplicity,value_domain,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
356,cor,5,A,,XBRL Allocation,Token,0..1,XBRL_Allocation,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",XBRL割当,"与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。_x000D_
[設定値のリスト]_x000D_
(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減)",CO18-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLAllocation,cor,Detail_ XBRL,xbrlAllocation,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlAllocation
357,cor,5,A,,XBRL Summary Reporting Element,QName,0..1,,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。,CO18-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLSummaryReportingElement,cor,Detail_ XBRL,xbrlSummaryReportingElement,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlSummaryReportingElement
358,cor,5,A,,XBRL Detail Matching Element,QName,0..1,,Associated XBRL element in XBRL-GL instance.,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。,CO18-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLDetailMatchingElement,cor,Detail_ XBRL,xbrlDetailMatchingElement,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlDetailMatchingElement
359,cor,5,A,,XBRL Summary Tuple Path,String,0..1,,Specific filter for parent class class. This value must be valid XPath. And the result of the XPath must be resolved to a node.,集約タプルパス,親タグ構造を特定するフィルタ。妥当なXPath記述でなければならない。XPathの結果はノードでなければならない。,CO18-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLSummaryTuplePath,cor,Detail_ XBRL,xbrlSummaryTuplePath,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlSummaryTuplePath
360,cor,5,A,,XBRL Detailed Content Filter,String,0..1,,"Filtering mechanism. This value must be valid XPath. And the result of the XPath must be resolved to boolean. If the resulting value is false, the entry  must not mapped into specified facts in F/S.",明細コンテントフィルタ,フィルタリング手段。妥当なXPath記述でなければならない。XPathの結果はブール値でなければならない。結果がfalseの場合は、仕訳はF/S内の特定のfactsにマッピングされてはならない。,CO18-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLDetailedContentFilter,cor,Detail_ XBRL,xbrlDetailedContentFilter,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlDetailedContentFilter
361,cor,5,A,,XBRL Reporting Date Selector,Token,0..1,,This holds the concepts in GL data to create FS contexts.  The value must be a list of QName. Each QName must be resolved to GL items. Order of the items defines priority to access.,報告日付セレクタ,F/Sのコンテキストを生成するためのGLデータの概念を示す。QNameのリストでなければならない。個々のQNameはGL項目を示さなければならない。項目の並びはアクセスの優先度を示す。,CO18-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLReportingDateSelector,cor,Detail_ XBRL,xbrlReportingDateSelector,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlReportingDateSelector
362,cor,5,A,,XBRL Summary Operator,String,0..1,,The operator applied to the amount or quantity when it is rolled up to a summary reporting element.,,,CO18-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLSummaryOperator,cor,Detail_ XBRL,xbrlSummaryOperator,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlSummaryOperator
363,cor,5,A,,XBRL Summary Unit Numerator,Token,1..1,,This holds the list of measure information for unit numerator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,集約ユニット分子,集約のユニットの分子の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。,CO18-08,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLSummaryUnitNumerator,cor,Detail_ XBRL,xbrlSummaryUnitNumerator,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlSummaryUnitNumerator
364,cor,5,A,,XBRL Summary Unit Denominator,Token,0..1,,This holds the list of measure information for unit denominator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,集約ユニット分母,集約のユニットの分母の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。,CO18-09,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLSummaryUnitDenominator,cor,Detail_ XBRL,xbrlSummaryUnitDenominator,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlSummaryUnitDenominator
365,cor,5,A,,XBRL Summary Reporting Taxonomy ID Reference,String,0..1,,"Reference to the ID of the relevant target reporting taxonomy, defined in the [summaryReportingTaxonomies] class at [documentInfo] level. Allows consuming applications to identify sets of [xbrlInfo] classs that point to a specific taxonomy.",集約報告タクソノミ識別子参照情報,関連する報告タクソノミの識別子への参照情報。documentInfo内のsummaryReportingTaxonomies構造体で定義される。特定のタクソノミを示すxbrlInfo構造体の集合を、アプリケーションが識別できるようにする。,CO18-10,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailXBRL.cor_XBRLSummaryReportingTaxonomyIDReference,cor,Detail_ XBRL,xbrlSummaryReportingTaxonomyIdReference,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailXbrl/gl-cor:xbrlSummaryReportingTaxonomyIdReference
366,bus,4,C,,Detail_ Measurable,,0..*,,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,BT13-22,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable,bus,Detail_ Measurable,detailMeasurable,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable
367,bus,5,A,PK,Measurable Code,Token,0..1,Measurable_Code,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",計測可能物コード,"計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他_x000D_
[設定値のリスト]_x000D_
(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他)",BU31-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableCode,bus,Detail_ Measurable,measurableCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableCode
368,bus,5,A,,Measurable Code Description,String,0..1,,Free format description of the measurable code,計測可能物コード説明,計測可能物のコードの説明。,BU31-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableCodeDescription,bus,Detail_ Measurable,measurableCodeDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableCodeDescription
369,bus,5,A,,Measurable Category,String,0..1,,Category of the measurable,計測可能物カテゴリ,計測可能物のカテゴリ。,BU31-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableCategory,bus,Detail_ Measurable,measurableCategory,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableCategory
370,bus,5,A,,Measurable Identification,String,0..1,,Internal inventory part or SKU number or other code identifier for the measurable.,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。,BU31-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableIdentification,bus,Detail_ Measurable,measurableIdentification,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableIdentification
371,bus,5,A,,Schema for Measurable Identification,String,0..1,,URI or other identifier for schema with which measurable ID can be validated,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。,BU31-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_SchemaforMeasurableIdentification,bus,Detail_ Measurable,schemaForMeasurableIdentification,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:schemaForMeasurableIdentification
372,bus,5,A,,Secondary Measurable Code,String,0..1,,Second identifier (such as vendor's item number),計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。,BU31-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_SecondaryMeasurableCode,bus,Detail_ Measurable,secondaryMeasurableCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:secondaryMeasurableCode
373,bus,5,A,,Schema for Secondary Measurable Identification,String,0..1,,URI or other identifier for schema with which measurable ID Other can be validated,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。,BU31-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_SchemaforSecondaryMeasurableIdentification,bus,Detail_ Measurable,schemaForSecondaryMeasurableIdentification,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:schemaForSecondaryMeasurableIdentification
374,bus,5,A,,Measurable Description,String,0..1,,Text description of measurable (e.g. inventory item or other identifier),計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）,BU31-08,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableDescription,bus,Detail_ Measurable,measurableDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableDescription
375,bus,5,A,,Measurable Quantity,Decimal,0..1,,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。,BU31-09,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableQuantity,bus,Detail_ Measurable,measurableQuantity,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableQuantity
376,bus,5,A,,Measurable Qualifier,Token,0..1,,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information",修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。,BU31-10,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableQualifier,bus,Detail_ Measurable,measurableQualifier,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableQualifier
377,bus,5,A,,Measurable Unit of Measure,String,0..1,,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",計量単位,単位の説明。たとえば、個、箱、ダースなど。ISO標準のコードを推奨。,BU31-11,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableUnitofMeasure,bus,Detail_ Measurable,measurableUnitOfMeasure,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableUnitOfMeasure
378,bus,5,A,,Measurable Per Unit Cost/Price,Monetary,0..1,,"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit = amount, this is not mandated except by external rules sets.",単価,"計測可能物の単価。_x000D_
measurableQuantity * measurableCostPerUnit = amountであることを期待するかもしれないが、外部規則がなければ必須ではない。",BU31-12,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurablePerUnitCostPrice,bus,Detail_ Measurable,measurablePerUnitCostPrice,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurablePerUnitCostPrice
379,bus,5,A,,Measurable Start Time,Date Time,0..1,,Start time of the duration being measured,開始日時,計量期間の開始時刻。,BU31-13,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableStartTime,bus,Detail_ Measurable,measurableStartTime,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableStartTime
380,bus,5,A,,Measurable End Time,Date Time,0..1,,End time of the duration being measured,終了日時,計量期間の終了時刻。,BU31-14,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableEndTime,bus,Detail_ Measurable,measurableEndTime,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableEndTime
381,bus,5,A,,Measurable Active,Boolean,0..1,,"Boolean to indicate whether the measurable is active (=""true"") or inactive (=""false"")",計測可能物有効性,計測可能物が有効か無効かを示すブール値。,BU31-15,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableActive,bus,Detail_ Measurable,measurableActive,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailMeasurable/gl-bus:measurableActive
382,bus,4,C,,Detail_ Job,,0..*,,"Class for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo class for each entry line, but there may be a need to express more than one.",【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,BT13-23,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailJob,bus,Detail_ Job,detailJob,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailJob
383,bus,5,A,PK,Job ID,String,0..1,,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。,BU32-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailJob.bus_JobID,bus,Detail_ Job,jobId,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailJob/gl-bus:jobId
384,bus,5,A,,Job Description,String,0..1,,Description of job,ジョブ説明,ジョブの説明。,BU32-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailJob.bus_JobDescription,bus,Detail_ Job,jobDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailJob/gl-bus:jobDescription
385,bus,5,A,,Job Phase,String,0..1,,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。,BU32-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailJob.bus_JobPhase,bus,Detail_ Job,jobPhase,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailJob/gl-bus:jobPhase
386,bus,5,A,,Job Phase Description,String,0..1,,"Description of Job code, phase, activity",ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。,BU32-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailJob.bus_JobPhaseDescription,bus,Detail_ Job,jobPhaseDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailJob/gl-bus:jobPhaseDescription
387,bus,5,A,,Job Active,Boolean,0..1,,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",ジョブ有効性,ジョブが有効か無効かを示すブール値。,BU32-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailJob.bus_JobActive,bus,Detail_ Job,jobActive,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailJob/gl-bus:jobActive
388,bus,4,C,,Detail_ Depreciation Mortgage,,0..*,,"Parent for information related to depreciation, mortgages, etc.",【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,BT13-24,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailDepreciationMortgage,bus,Detail_ Depreciation Mortgage,detailDepreciationMortgage,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailDepreciationMortgage
389,bus,5,A,,Depreciation Mortgage Jurisdiction,Token,0..1,Depreciation_Jurisdiction,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other.",抵当債務管轄,"管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。_x000D_
[設定値のリスト]_x000D_
(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)",BU33-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailDepreciationMortgage.bus_DepreciationMortgageJurisdiction,bus,Detail_ Depreciation Mortgage,depreciationMortgageJurisdiction,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailDepreciationMortgage/gl-bus:depreciationMortgageJurisdiction
390,bus,5,A,,Depreciation Method,String,0..1,,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。,BU33-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailDepreciationMortgage.bus_DepreciationMethod,bus,Detail_ Depreciation Mortgage,depreciationMethod,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailDepreciationMortgage/gl-bus:depreciationMethod
391,bus,5,A,,Depreciation Mortgage Life,Decimal,0..1,,Length of life in number of periods.,抵当債務期間,存在する期間数。,BU33-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailDepreciationMortgage.bus_DepreciationMortgageLife,bus,Detail_ Depreciation Mortgage,depreciationMortgageLife,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailDepreciationMortgage/gl-bus:depreciationMortgageLife
392,bus,5,A,,Depreciation Mortgage Description,String,0..1,,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。,BU33-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailDepreciationMortgage.bus_DepreciationMortgageDescription,bus,Detail_ Depreciation Mortgage,depreciationMortgageDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailDepreciationMortgage/gl-bus:depreciationMortgageDescription
393,bus,5,A,,Depreciation Mortgage Start Date,Date Time,0..1,,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。,BU33-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailDepreciationMortgage.bus_DepreciationMortgageStartDate,bus,Detail_ Depreciation Mortgage,depreciationMortgageStartDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailDepreciationMortgage/gl-bus:depreciationMortgageStartDate
394,bus,5,A,,Depreciation Mortgage End Date,Date Time,0..1,,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。,BU33-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailDepreciationMortgage.bus_DepreciationMortgageEndDate,bus,Detail_ Depreciation Mortgage,depreciationMortgageEndDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailDepreciationMortgage/gl-bus:depreciationMortgageEndDate
395,bus,5,A,,Depreciation Mortgage Amount,Monetary,0..1,,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。,BU33-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailDepreciationMortgage.bus_DepreciationMortgageAmount,bus,Detail_ Depreciation Mortgage,depreciationMortgageAmount,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-bus:detailDepreciationMortgage/gl-bus:depreciationMortgageAmount
396,ehm,4,C,,Detail_ Serial or Lot,,0..*,,"Class for holding information about serial numbers or lots (batches). As a class, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable class.",【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。,BT13-25,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailSerialorLot,ehm,Detail_ Serial or Lot,detailSerialOrLot,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-ehm:detailSerialOrLot
397,ehm,5,A,PK,Serial or Lot Code,Token,0..1,Serial_Lot_Type,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the class, neither is assumed.",シリアル・ロット識別コード,この項目はシリアル番号またはロット番号で管理されているか？シリアル番号は一意に付番されたもので、ロット番号は同一バッチの区別を目的に使用される。,EH01-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailSerialorLot.ehm_SerialorLotCode,ehm,Detail_ Serial or Lot,serialOrLotCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-ehm:detailSerialOrLot/gl-ehm:serialOrLotCode
398,ehm,5,A,,Serial or Lot Description,String,0..1,,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,シリアル・ロットの説明,gl-ehm:serialLotCode の「その他」の値のための自由記述の説明（例：バッチ、グループなど）。,EH01-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailSerialorLot.ehm_SerialorLotDescription,ehm,Detail_ Serial or Lot,serialOrLotDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-ehm:detailSerialOrLot/gl-ehm:serialOrLotDescription
399,ehm,5,A,,Serial or Lot Number,String,0..1,,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,シリアル番号・ロット番号,対象アイテムやロットに割り当てられた実際の番号／コードを保持する。,EH01-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailSerialorLot.ehm_SerialorLotNumber,ehm,Detail_ Serial or Lot,serialOrLotNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-ehm:detailSerialOrLot/gl-ehm:serialOrLotNumber
400,ehm,5,A,,Next Serial or Lot Number,String,0..1,,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",次のシリアル・ロット番号,今後割り当て予定の次のシリアル／ロット番号や、既に割り当てられたアイテムの連結に使用。,EH01-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailSerialorLot.ehm_NextSerialorLotNumber,ehm,Detail_ Serial or Lot,nextSerialOrLotNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-ehm:detailSerialOrLot/gl-ehm:nextSerialOrLotNumber
401,ehm,5,A,,Serial or Lot Quantity,Decimal,0..1,,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,シリアル・ロットの数量,該当ロット内の単位数。単位は gl-bus:measurableUnitofMeasure に基づく。,EH01-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailSerialorLot.ehm_SerialorLotQuantity,ehm,Detail_ Serial or Lot,serialOrLotQuantity,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-ehm:detailSerialOrLot/gl-ehm:serialOrLotQuantity
